PLAYER_NAME,SEASON_1,ERA,cluster,PC1,PC2,rim_share,paint_share,mid_share,lc3_share,rc3_share,atb3_share
Milt Palacio,2004,pre,4,-1.1114888626997632,-0.9469823416337049,0.4444444444444444,0.08417508417508418,0.3872053872053872,0.037037037037037035,0.003367003367003367,0.04377104377104377
Larry Hughes,2004,pre,4,-0.4774252450290487,-1.2177078011020421,0.2626362735381566,0.13181367690782952,0.37661050545094155,0.023785926660059464,0.013875123885034688,0.19127849355797819
Elton Brand,2006,pre,4,-2.361430213132672,-1.0528926833446768,0.2529616724738676,0.3184668989547038,0.4264808362369338,0.0,0.0,0.0020905923344947735
Josh Smith,2014,pre,0,-0.8733585513176252,-0.4229676838825591,0.28304947283049475,0.21086780210867803,0.2911597729115977,0.015409570154095702,0.0186536901865369,0.18085969180859693
Rudy Gay,2013,pre,4,-0.8984726538224423,-0.7259113518239274,0.255404323458767,0.21056845476381106,0.32906325060048036,0.01521216973578863,0.016012810248198558,0.17373899119295436
Ryan Anderson,2015,post,3,1.1899515133833445,-0.3888364573386103,0.2465564738292011,0.05647382920110193,0.2066115702479339,0.03994490358126722,0.03581267217630854,0.41460055096418735
Baron Davis,2010,pre,3,-0.2772119836941834,-0.5482137825761563,0.34124629080118696,0.09693372898120672,0.27299703264094954,0.010880316518298714,0.021760633036597428,0.2561819980217606
Darren Collison,2010,pre,4,-1.037681590558447,-0.8698242123722502,0.3418043202033037,0.15247776365946633,0.36213468869123255,0.015247776365946633,0.017789072426937738,0.11054637865311309
Dennis Schroder,2023,post,0,0.19479942606303155,0.2176988283036995,0.22153846153846155,0.2323076923076923,0.20307692307692307,0.06153846153846154,0.03230769230769231,0.24923076923076923
Kawhi Leonard,2021,post,0,-0.5320912867618204,-0.1666019883440099,0.2127894156560088,0.25689084895259096,0.2513781697905182,0.029768467475192944,0.020948180815876516,0.22822491730981256
Reggie Jackson,2020,post,0,0.5626715705534767,0.666962318826883,0.2246153846153846,0.21846153846153846,0.11384615384615385,0.04,0.046153846153846156,0.3569230769230769
Anthony Parker,2010,pre,2,4.179595362221363,-0.05224273823334513,0.08438818565400844,0.08227848101265822,0.28270042194092826,0.16877637130801687,0.18354430379746836,0.19831223628691982
Austin Daye,2010,pre,3,1.1665998237717177,-1.0114593590803431,0.2653061224489796,0.047619047619047616,0.3673469387755102,0.06802721088435375,0.07482993197278912,0.17687074829931973
Jalen Green,2023,post,0,0.234295721362461,0.29279244472450594,0.2848708487084871,0.15940959409594097,0.14981549815498155,0.02952029520295203,0.024354243542435424,0.35202952029520296
Luka Doncic,2023,post,0,-0.52947443905518,0.3154720077769541,0.21844660194174756,0.26282940360610263,0.14909847434119278,0.010402219140083218,0.0062413314840499305,0.35298196948682387
Damyean Dotson,2019,post,3,1.3369609997320784,-0.771513534720176,0.1836441893830703,0.06886657101865136,0.25968436154949787,0.047345767575322814,0.040172166427546625,0.40028694404591103
George Hill,2019,post,0,0.7299252187616876,0.47070547406226,0.328,0.12,0.14666666666666667,0.058666666666666666,0.04,0.30666666666666664
John Salmons,2005,pre,2,1.7246908508354757,0.13404888140446036,0.2714285714285714,0.08571428571428572,0.20952380952380953,0.10476190476190476,0.06666666666666667,0.2619047619047619
Raja Bell,2009,pre,3,1.5180822677396935,-2.382778358112756,0.07624633431085044,0.036656891495601175,0.4941348973607038,0.06304985337243402,0.054252199413489736,0.2756598240469208
Quincy Miller,2014,pre,2,1.4390767529507942,0.12668924498378853,0.33203125,0.0703125,0.23046875,0.10546875,0.06640625,0.1953125
DeJuan Blair,2013,pre,1,-2.636575539665424,0.9477925381978409,0.5239852398523985,0.2878228782287823,0.18450184501845018,0.0,0.0,0.0036900369003690036
Clint Capela,2024,post,1,-2.7428164142805516,2.393979943594543,0.7860615883306321,0.20745542949756887,0.006482982171799027,0.0,0.0,0.0
Elfrid Payton,2016,post,1,-1.4864708838313376,0.5117084751447079,0.44368131868131866,0.22252747252747251,0.21016483516483517,0.019230769230769232,0.016483516483516484,0.08791208791208792
Jameer Nelson,2017,post,3,0.7310116846807709,-0.7664674002297285,0.2292358803986711,0.06976744186046512,0.25083056478405313,0.036544850498338874,0.009966777408637873,0.40365448504983387
Ruben Patterson,2005,pre,1,-2.1499417226377537,1.2592910646647646,0.6839464882943144,0.1488294314381271,0.13043478260869565,0.005016722408026756,0.005016722408026756,0.026755852842809364
Anderson Varejao,2009,pre,1,-2.181961455666186,-0.11020516718314602,0.5506958250497018,0.147117296222664,0.30019880715705766,0.0,0.0,0.0019880715705765406
Beno Udrih,2007,pre,3,0.9392438420415534,-1.3305401599255289,0.21700879765395895,0.06451612903225806,0.39002932551319647,0.05865102639296188,0.05571847507331378,0.21407624633431085
Kelly Olynyk,2016,post,0,0.04627250117420517,0.34417488481227076,0.3597122302158273,0.11870503597122302,0.14388489208633093,0.01618705035971223,0.025179856115107913,0.3363309352517986
Ekpe Udoh,2013,pre,1,-2.57474961794024,0.5642685812106407,0.4758364312267658,0.2899628252788104,0.23048327137546468,0.0,0.0,0.0037174721189591076
Nikola Vucevic,2014,pre,4,-2.225569651378004,-0.6068368610898781,0.4281609195402299,0.20689655172413793,0.3649425287356322,0.0,0.0,0.0
